Binomial,species,Area,FID_2,TID,Group,Value,tempmean,tempstdev,precmean,precstdev,nppmean,nppstdev
Abronia_matudai,Abronia_matudai,894.95182,25,R00681,lizard,1,14.75561995,3.683391893,1963.070501,670.9242086,3.16334E+11,89677111296
Abronia_meledona,Abronia_meledona,45.495206,26,R00682,lizard,1,15.26080248,3.694463011,1582.5,65.41342879,6.38098E+11,71061142141
Abronia_mitchelli,Abronia_mitchelli,232.142506,27,R00683,lizard,1,14.22794894,2.606282956,1805.760563,683.7253426,8.60709E+11,80691950886
Abronia_mixteca,Abronia_mixteca,3601.013535,28,R00684,lizard,1,16.78117343,2.181420847,885.7400181,167.4331083,5.46954E+11,1.15709E+11
Abronia_montecristoi,Abronia_montecristoi,4678.060715,29,R00685,lizard,1,21.69262526,2.15187219,1546.267197,140.740851,8.09516E+11,52819106236
Abronia_oaxacae,Abronia_oaxacae,3396.498795,30,R00686,lizard,1,15.73563811,2.586499381,975.7131839,184.8592637,5.69947E+11,1.40393E+11
Abronia_ochoterenai,Abronia_ochoterenai,176.521317,31,R00687,lizard,1,16.39526518,1.379665244,1705.818182,893.6907456,8.05436E+11,72714497312
Abronia_ornelasi,Abronia_ornelasi,363.144037,32,R00688,lizard,1,21.03045233,0.82849925,917.6509009,56.65509069,8.32336E+11,30688205199
Abronia_ramirezi,Abronia_ramirezi,242.281435,33,R00689,lizard,1,25.03755742,1.641726365,990.1206897,274.8992968,6.3278E+11,29545326365
Abronia_reidi,Abronia_reidi,222.657374,34,R00690,lizard,1,22.28791666,1.45344842,2500.17037,176.1616489,62194072314,4.4625E+11
Abronia_salvadorensis,Abronia_salvadorensis,82.489679,35,R00691,lizard,1,19.54616663,1.448049434,1729.36,57.15041907,7.38558E+11,1.08844E+11
Abronia_smithi,Abronia_smithi,1998.011645,36,R00692,lizard,1,18.63790532,2.811062943,1745.811212,405.2974804,7.01144E+11,94277097494
Abronia_taeniata,Abronia_taeniata,7721.269707,37,R00693,lizard,1,18.24887643,2.36910811,768.5178774,233.5828704,6.06022E+11,1.43275E+11
Abronia_vasconcelosii,Abronia_vasconcelosii,4051.643595,38,R00694,lizard,1,15.15762146,2.393672023,1593.485813,277.6835778,6.14237E+11,88199500808
Acanthocercus_adramitanus,Acanthocercus_adramitanus,259180.4326,39,R00030,lizard,1,24.17596841,2.860318233,162.7549536,93.22081888,47173064969,21970115450
Acanthocercus_annectens,Acanthocercus_annectens,681636.0474,40,R00031,lizard,1,24.74742294,3.393603074,368.7779165,251.9699243,1.42017E+11,1.47756E+11
Acanthocercus_atricollis,Acanthocercus_atricollis,5952733.384,41,R00032,lizard,1,22.1133147,2.62560837,972.2063981,353.1001064,-3.09E+36,3.23E+37
Acanthocercus_branchi,Acanthocercus_branchi,161275.6955,42,R00033,lizard,1,21.8069115,2.040106954,841.9123748,84.71569232,5.08853E+11,86186147724
Acanthocercus_cyanogaster,Acanthocercus_cyanogaster,1455649.932,43,R00034,lizard,1,21.657963,3.054425987,1013.231891,338.3480646,-8.54E+36,5.32E+37
Acanthocercus_guentherpetersi,Acanthocercus_guentherpetersi,38842.44273,44,R00035,lizard,1,25.49623327,3.482106031,403.1740791,185.0034264,78898130210,78175278159
Acanthocercus_phillipsii,Acanthocercus_phillipsii,85904.62038,45,R00036,lizard,1,24.679553,2.696553677,250.8424029,120.4135071,59653672657,24539644721
Acanthocercus_yemensis,Acanthocercus_yemensis,44639.22034,46,R00037,lizard,1,21.59351019,2.878776466,212.8418599,97.85976702,60391151247,22574906409
Acanthochelys_macrocephala,Acanthochelys_macrocephala,483984.0534,47,R09913,turtle,1,25.24837792,1.246501841,1115.116972,332.2591266,6.98093E+11,1.14208E+11
Acanthochelys_pallidipectoris,Acanthochelys_pallidipectoris,321161.489,48,R09914,turtle,1,22.29719636,1.15382404,895.4120601,227.5409383,5.65276E+11,98958878372
Acanthochelys_radiolata,Acanthochelys_radiolata,383928.1068,49,R09915,turtle,1,22.21447232,2.287797583,1228.516197,346.8468117,6.90689E+11,2.47672E+11
Acanthochelys_spixii,Acanthochelys_spixii,1068230.689,50,R09916,turtle,1,18.70463288,1.614749305,1414.698616,231.8535299,6.57214E+11,1.55683E+11
Acanthodactylus_aegyptius,Acanthodactylus_aegyptius,242805.034,51,R05245,lizard,1,21.0140016,1.062671699,31.03744296,44.31438428,61372172673,90076785381
Acanthodactylus_ahmaddisii,Acanthodactylus_ahmaddisii,4776.199241,52,R05246,lizard,1,17.78756255,0.436556359,195.2988048,55.71877216,38710685403,13671500627
Acanthodactylus_arabicus,Acanthodactylus_arabicus,127002.1419,53,R05247,lizard,1,25.11689179,2.650707321,129.7200348,98.45053843,40603062085,15442559375
Acanthodactylus_aureus,Acanthodactylus_aureus,271936.9096,54,R05248,lizard,1,22.51108815,2.723314208,85.04645418,100.0120361,33481328383,33404177638
Acanthodactylus_bedriagai,Acanthodactylus_bedriagai,192748.1061,55,R05249,lizard,1,17.35831768,3.075118717,295.980128,201.8535968,82876097265,85755208823
Acanthodactylus_beershebensis,Acanthodactylus_beershebensis,5380.055534,56,R05250,lizard,1,19.14492165,1.000428431,228.6352861,52.64411213,73979520569,48214003549
Acanthodactylus_blanci,Acanthodactylus_blanci,130793.2603,57,R05251,lizard,1,17.60733232,2.586350299,355.7032921,199.3979265,-1.58E+36,2.32E+37
Acanthodactylus_blanfordii,Acanthodactylus_blanfordii,921917.2823,58,R05252,lizard,1,22.28955464,3.55485345,157.3565962,77.99976055,-2.49E+35,9.20E+36
Acanthodactylus_boueti,Acanthodactylus_boueti,342755.4643,60,R05254,lizard,1,26.68223708,0.876231387,1195.006422,114.2977273,4.7041E+11,1.07505E+11
Acanthodactylus_busacki,Acanthodactylus_busacki,211576.4253,61,R05255,lizard,1,20.61102572,2.217741402,84.45122907,95.5625067,35493919120,32882724319
Acanthodactylus_cantoris,Acanthodactylus_cantoris,1418005.8,62,R05256,lizard,1,24.16447175,3.597100829,411.4940557,372.7576482,-6.53E+35,1.49E+37
Acanthodactylus_dumerilii,Acanthodactylus_dumerilii,1617810.352,63,R05257,lizard,1,22.78721041,4.478895939,118.1457745,101.6612913,33791109884,25371748481
Acanthodactylus_erythrurus,Acanthodactylus_erythrurus,1030081.711,64,R05258,lizard,1,14.71379196,2.640014327,532.2096477,291.7735697,1.97696E+11,1.13904E+11
Acanthodactylus_felicis,Acanthodactylus_felicis,147439.4281,65,R05259,lizard,1,24.61549082,3.46758812,167.8644481,111.5388262,50648140216,27186217638
Acanthodactylus_gongrorhynchatus,Acanthodactylus_gongrorhynchatus,132080.251,66,R05260,lizard,1,27.1159602,1.194480089,88.1355821,19.265048,20508118420,8121648980
Acanthodactylus_guineensis,Acanthodactylus_guineensis,2113536.354,68,R05262,lizard,1,27.13538607,1.171081091,938.675431,391.9780521,3.30927E+11,1.30353E+11
Acanthodactylus_haasi,Acanthodactylus_haasi,517700.0376,69,R05263,lizard,1,25.62103974,2.286185844,115.840413,54.09851837,20853540062,7644325784
Acanthodactylus_harranensis,Acanthodactylus_harranensis,4831.027471,71,R05265,lizard,1,18.44147075,0.262624268,320.5598113,33.54938557,65866065237,23859561337
Acanthodactylus_khamirensis,Acanthodactylus_khamirensis,9.996281,72,R05266,lizard,1,23.83250008,0.451318173,325.2666667,26.38299115,20803717120,0
Acanthodactylus_lineomaculatus,Acanthodactylus_lineomaculatus,169634.6676,73,R05267,lizard,1,16.89723592,2.531379433,417.124752,167.2940193,1.66509E+11,92563922657
Acanthodactylus_longipes,Acanthodactylus_longipes,7872081.195,74,R05268,lizard,1,24.792551,2.899973621,40.91517122,40.48315769,22788478217,7978077213
Acanthodactylus_maculatus,Acanthodactylus_maculatus,1194717.042,75,R05269,lizard,1,19.14053342,3.297420393,181.1281394,153.901642,-1.85E+35,7.94E+36
Acanthodactylus_masirae,Acanthodactylus_masirae,25057.28895,76,R05270,lizard,1,26.0363682,1.490641213,112.5807498,38.91141388,36147931856,19292953145
Acanthodactylus_micropholis,Acanthodactylus_micropholis,533435.6463,77,R05271,lizard,1,23.19088043,2.779397935,154.335337,79.80719392,-4.34E+35,1.21E+37
Acanthodactylus_opheodurus,Acanthodactylus_opheodurus,1750981.563,79,R05273,lizard,1,24.83006954,2.868654038,111.2637641,56.39167494,27431408075,13358149754
Acanthodactylus_pardalis,Acanthodactylus_pardalis,179337.2392,81,R05275,lizard,1,19.5152302,1.140146312,107.9572413,81.6189673,41041230423,50327584573
Acanthodactylus_robustus,Acanthodactylus_robustus,193573.308,82,R05276,lizard,1,18.47826328,1.264090009,123.4584914,43.91094371,35181583179,12902780575
Acanthodactylus_savignyi,Acanthodactylus_savignyi,97091.96288,83,R05277,lizard,1,16.18550358,1.641562329,527.5755809,214.8968573,1.76509E+11,1.00303E+11
Acanthodactylus_schmidti,Acanthodactylus_schmidti,2040472.627,84,R05278,lizard,1,25.89423957,2.927456767,108.7728257,56.82277276,25662925066,13442714282
Acanthodactylus_schreiberi,Acanthodactylus_schreiberi,9058.487362,85,R05279,lizard,1,18.0316743,1.814188881,486.5502505,119.7848761,1.8411E+11,65057934652
Acanthodactylus_senegalensis,Acanthodactylus_senegalensis,1531947.004,87,R05281,lizard,1,28.27336122,1.394744966,139.1210011,127.9464944,37904677481,33353450107
Acanthodactylus_spinicauda,Acanthodactylus_spinicauda,5889.589885,88,R05282,lizard,1,17.11187645,1.10340557,159.6345896,40.23811495,40132836921,4950840116
Acanthodactylus_taghitensis,Acanthodactylus_taghitensis,277058.6807,89,R05283,lizard,1,25.58530323,1.46957427,31.74207365,12.10170838,17617069841,6450500073
Acanthodactylus_tilburyi,Acanthodactylus_tilburyi,134696.0076,90,R05284,lizard,1,23.5346314,2.584845153,112.2076655,51.46615656,29423243653,8461122438
Acanthodactylus_tristrami,Acanthodactylus_tristrami,76448.49769,91,R05285,lizard,1,16.710696,2.00203303,254.5175797,184.5167802,69047454023,49605265368
Acanthodactylus_yemenicus,Acanthodactylus_yemenicus,179395.0815,92,R05286,lizard,1,24.65747582,3.409750722,157.5554411,107.8230223,47415496280,25463620911
Acanthophis_antarcticus,Acanthophis_antarcticus,2447375.59,93,R03377,snake,1,19.85422895,3.599461824,545.7437204,250.9537298,-9.45E+34,5.67E+36
Acanthophis_hawkei,Acanthophis_hawkei,525772.5503,94,R03378,snake,1,26.18535394,0.880460838,681.4920164,231.5029262,-4.75E+35,1.27E+37
Acanthophis_laevis,Acanthophis_laevis,536116.8121,95,R03379,snake,1,25.30843167,2.189498855,3161.955736,750.1135106,8.81629E+11,2.33684E+11
Acanthophis_praelongus,Acanthophis_praelongus,777365.2063,96,R03380,snake,1,26.11371126,1.719509623,1103.408702,369.90274,-3.28E+35,1.06E+37
Acanthophis_pyrrhus,Acanthophis_pyrrhus,3237602.388,97,R03381,snake,1,23.6093717,2.545099249,319.3120541,156.5860413,76282178648,34769518632
Acanthophis_rugosus,Acanthophis_rugosus,14508.67904,98,R03382,snake,1,26.94170509,0.154366534,1676.538226,147.6612077,4.82902E+11,2.49754E+11
Acanthophis_wellsi,Acanthophis_wellsi,5508.048359,99,R03383,snake,1,23.69495866,0.698605291,431.3461428,24.73545263,1.06034E+11,10274884930
Acanthosaura_armata,Acanthosaura_armata,217537.1626,100,R00038,lizard,1,25.59505148,1.651588818,2265.591253,538.7666705,-1.17E+36,1.99E+37
Acanthosaura_bintangensis,Acanthosaura_bintangensis,19.992561,101,R00039,lizard,1,22.58283356,1.246357639,3881.8,416.9239739,8.38643E+11,0
Acanthosaura_brachypoda,Acanthosaura_brachypoda,19.992561,102,R00040,lizard,1,19.35383339,2.959785971,2017.36,255.0751858,5.70206E+11,57253042586
Acanthosaura_capra,Acanthosaura_capra,8167.849486,103,R00041,lizard,1,23.57545018,1.512120436,2197.488303,176.8670969,8.07943E+11,94163998689
Acanthosaura_cardamomensis,Acanthosaura_cardamomensis,11841.50291,104,R00042,lizard,1,25.03367706,1.696997521,2172.062827,392.2722983,7.16981E+11,61653908230
Acanthosaura_coronata,Acanthosaura_coronata,14531.22127,105,R00043,lizard,1,23.10302563,1.680827397,1961.796768,260.5579147,8.00984E+11,84989612079
Acanthosaura_lepidogaster,Acanthosaura_lepidogaster,2557954.491,107,R00045,lizard,1,22.60004729,3.544067748,1645.622586,526.1724135,4.79819E+11,1.72014E+11
Acanthosaura_nataliae,Acanthosaura_nataliae,34861.69035,108,R00046,lizard,1,22.635166,1.983000185,2233.38991,401.2321087,7.98134E+11,92788429320
Acanthosaura_titiwangsaensis,Acanthosaura_titiwangsaensis,1747.105745,109,R00047,lizard,1,21.87566665,1.864515358,2803.499512,104.4015197,7.99838E+11,1.70148E+11
Achalinus_ater,Achalinus_ater,73196.73074,110,R09879,snake,1,16.77451205,1.520693393,1322.052351,136.7535465,3.51411E+11,58075577071
Achalinus_formosanus,Achalinus_formosanus,36701.97543,111,R09880,snake,1,19.14188997,4.38630773,2542.206946,651.8911719,3.01825E+11,1.22498E+11
Achalinus_hainanus,Achalinus_hainanus,5051.019873,112,R09881,snake,1,23.77813524,1.483377199,1396.027433,100.0033768,6.05367E+11,2.23985E+11
Achalinus_jinggangensis,Achalinus_jinggangensis,307.584776,113,R09882,snake,1,13.80154054,1.649121377,1731.436725,122.9433602,2.53922E+11,3120104848
Achalinus_meiguensis,Achalinus_meiguensis,129467.2858,114,R09883,snake,1,7.951165495,5.510648426,883.9719185,164.1957865,2.83167E+11,91552975581
Achalinus_niger,Achalinus_niger,23352.80829,115,R09884,snake,1,17.39554232,4.491941492,2742.150787,594.8226035,3.15028E+11,1.2848E+11
Achalinus_rufescens,Achalinus_rufescens,680737.1594,116,R09885,snake,1,19.56903495,2.642712731,1612.587225,203.4623572,3.53951E+11,91202678868
Achalinus_spinalis,Achalinus_spinalis,1636030.238,117,R09886,snake,1,14.6362644,3.652241637,1382.697724,352.2909353,-1.39E+35,6.88E+36
Achalinus_werneri,Achalinus_werneri,2270.140087,118,R09887,snake,1,21.77463247,0.824534837,2282.350635,204.2966272,51062793557,6034615093
Acontias_aurantiacus,Acontias_aurantiacus,46189.19378,119,R07002,lizard,1,22.90354111,0.950692735,754.0521852,195.2033066,-5.08E+36,4.13E+37
Acontias_bicolor,Acontias_bicolor,129800.3309,120,R07003,lizard,1,20.09662467,2.216127898,843.9279569,177.8744267,5.30042E+11,1.57822E+11
Acontias_breviceps,Acontias_breviceps,41481.14325,121,R07004,lizard,1,15.23487958,2.019810244,746.5746796,172.9013902,4.61841E+11,1.68468E+11
Acontias_cregoi,Acontias_cregoi,43157.17821,122,R07005,lizard,1,20.44136928,1.984440669,658.2011034,194.270956,3.5818E+11,1.28877E+11
Acontias_gariepensis,Acontias_gariepensis,51533.1988,123,R07006,lizard,1,20.17353387,0.261168561,204.303229,24.65073666,77779601380,8590102137
Acontias_gracilicauda,Acontias_gracilicauda,329198.8716,124,R07007,lizard,1,16.72566894,1.626902859,529.6650764,152.197971,2.4425E+11,1.20901E+11
Acontias_jappi,Acontias_jappi,26568.24981,125,R07008,lizard,1,21.20838546,0.778501737,919.2650464,46.06328219,4.42106E+11,1.28337E+11
Acontias_kgalagadi,Acontias_kgalagadi,663345.2591,126,R07009,lizard,1,21.46351689,1.461342846,340.3808284,102.3243196,1.31789E+11,65819686471
Acontias_lineatus,Acontias_lineatus,333597.2482,127,R07010,lizard,1,18.02180576,1.840364553,206.1531064,119.2064188,88955720491,68351290132
Acontias_litoralis,Acontias_litoralis,27703.49412,128,R07011,lizard,1,18.35573245,0.732662599,153.1592028,66.78161096,1.08158E+11,32304326701
Acontias_meleagris,Acontias_meleagris,145933.9206,129,R07012,lizard,1,16.44870224,1.649933873,387.4048282,161.7374699,2.25646E+11,1.62756E+11
Acontias_namaquensis,Acontias_namaquensis,5436.28279,130,R07013,lizard,1,17.89300525,1.001438445,148.8208549,48.01729406,92714728448,21484399421
Acontias_occidentalis,Acontias_occidentalis,482198.6071,131,R07014,lizard,1,20.67282942,1.467721974,438.6708771,122.5846171,1.8902E+11,87546109529
Acontias_orientalis,Acontias_orientalis,34639.7738,132,R07015,lizard,1,17.5554089,0.854802908,494.7024029,127.9735087,3.27859E+11,1.45869E+11
Acontias_percivali,Acontias_percivali,901709.3906,133,R07016,lizard,1,21.66133885,1.564294096,447.4743664,118.5760994,2.05355E+11,90891949475
Acontias_plumbeus,Acontias_plumbeus,324207.9725,134,R07017,lizard,1,20.92899102,2.486646958,782.1920616,191.7268323,-1.45E+36,2.22E+37
Acontias_poecilus,Acontias_poecilus,7946.094323,135,R07018,lizard,1,16.89418154,1.903263917,902.7323839,80.64786192,4.43938E+11,1.97087E+11
Acontias_richardi,Acontias_richardi,8050.254617,136,R07019,lizard,1,21.69204445,1.074019653,725.2144326,202.7154154,3.8396E+11,1.20872E+11
Acontias_rieppeli,Acontias_rieppeli,39068.8058,137,R07020,lizard,1,21.07715586,1.872505994,462.9563879,227.0004011,2.21872E+11,1.61567E+11
Acontias_schmitzi,Acontias_schmitzi,9.996281,138,R07021,lizard,1,22.05486091,0.041312181,898.5,1.802775638,4.34593E+11,24083275667
Acontias_tristis,Acontias_tristis,31412.47257,139,R07022,lizard,1,18.56671897,1.118241285,120.6465131,46.72438592,82218030933,22561072703
Acrantophis_dumerili,Acrantophis_dumerili,242896.0305,140,R00778,snake,1,23.03522839,2.444841761,937.4693775,301.5295035,4.41765E+11,1.79322E+11
Acrantophis_madagascariensis,Acrantophis_madagascariensis,171891.1314,141,R00779,snake,1,24.48984943,2.539590498,1568.101368,414.1380221,-1.47E+36,2.23E+37
Acratosaura_mentalis,Acratosaura_mentalis,530277.0187,142,R04883,lizard,1,22.64855314,1.597644639,842.1727569,302.8291271,6.19734E+11,1.96911E+11
Acratosaura_spinosa,Acratosaura_spinosa,125654.2162,143,R04884,lizard,1,22.06931129,1.515391202,745.5862663,150.9261132,6.25218E+11,1.5661E+11
Acrochordus_arafurae,Acrochordus_arafurae,689550.4544,144,R00027,snake,1,26.68855048,0.677003615,1276.69701,658.4522899,-3.68E+35,1.12E+37
Acrochordus_javanicus,Acrochordus_javanicus,1917165.718,146,R00029,snake,1,25.73091234,2.049426136,2430.892102,833.1752351,-5.41E+35,1.36E+37
Actinemys_marmorata,Actinemys_marmorata,463537.6354,147,R09981,turtle,1,12.29145079,3.989700175,877.0928864,638.0485163,3.66655E+11,1.63694E+11
Acutotyphlops_banaorum,Acutotyphlops_banaorum,4.435374,148,R09122,snake,1,20.30583344,0.395939865,3200.4,21.67579295,5.82197E+11,0
Acutotyphlops_infralabialis,Acutotyphlops_infralabialis,10688.33303,149,R09123,snake,1,25.1198351,1.659061085,3049.285596,348.1448296,5.45107E+11,4.23308E+11
Acutotyphlops_kunuaensis,Acutotyphlops_kunuaensis,5157.574295,150,R09124,snake,1,25.9976784,1.704063353,3347.460478,432.8766525,4.84271E+11,3.67656E+11
Acutotyphlops_solomonis,Acutotyphlops_solomonis,4994.336641,151,R09125,snake,1,26.29765326,1.122743475,3342.249739,438.0695191,6.17078E+11,3.0309E+11
Acutotyphlops_subocularis,Acutotyphlops_subocularis,33827.81318,152,R09126,snake,1,25.08196152,1.265395504,3444.823383,602.2066095,6.51905E+11,3.28862E+11
Adelophis_copei,Adelophis_copei,1388.352743,153,R06353,snake,1,20.38617033,3.110590331,914.7753456,68.80025346,4.48249E+11,71806587026
Adelophis_foxi,Adelophis_foxi,848.786844,154,R06354,snake,1,16.12079875,3.168808957,1126.441882,85.40850037,5.23959E+11,63771390007
Adelphicos_daryi,Adelphicos_daryi,9.996281,155,R02625,snake,1,15.84294884,1.327032902,1404.923077,54.53786481,6.95843E+11,0
Adelphicos_ibarrorum,Adelphicos_ibarrorum,9.996281,156,R02626,snake,1,9.610069434,0.547945687,1515.833333,15.04345557,6.46101E+11,0.00012207
Adelphicos_latifasciatum,Adelphicos_latifasciatum,1856.448997,157,R02627,snake,1,21.97102449,1.652143267,914.5324217,176.3275544,8.08573E+11,26671448064
Adelphicos_nigrilatum,Adelphicos_nigrilatum,2721.114363,158,R02628,snake,1,16.04623231,1.538248207,1197.5676,236.4859502,7.18645E+11,88890634069
Adelphicos_quadrivirgatum,Adelphicos_quadrivirgatum,191713.3201,159,R02629,snake,1,23.6147791,3.015763044,1758.175576,890.2941231,6.80164E+11,2.49755E+11
Adelphicos_veraepacis,Adelphicos_veraepacis,5992.968124,160,R02630,snake,1,17.84965311,4.550992272,2687.388056,1018.985148,8.32021E+11,1.73684E+11
Adercosaurus_vixadnexus,Adercosaurus_vixadnexus,9.996281,161,R04885,lizard,1,18.77048635,0.524179637,2100.166667,70.65389035,1.00057E+12,0
Adolfus_africanus,Adolfus_africanus,931945.3077,162,R05287,lizard,1,23.22354445,2.117804334,1437.371976,372.1138287,-2.80E+35,9.76E+36
Adolfus_alleni,Adolfus_alleni,18282.44474,163,R05288,lizard,1,16.33433932,4.065495029,1089.036975,289.6522063,6.54676E+11,1.76144E+11
Adolfus_jacksoni,Adolfus_jacksoni,383062.5602,164,R05289,lizard,1,20.96969774,2.829121201,1343.993153,344.9326871,-6.87E+35,1.53E+37
Adolfus_masavaensis,Adolfus_masavaensis,1062.623221,165,R05290,lizard,1,11.77041868,2.887943165,1507.627608,139.1050021,6.02571E+11,1.22599E+11
Aeluroglena_cucullata,Aeluroglena_cucullata,36010.79893,166,R01072,snake,1,23.11211139,1.817253611,311.670742,105.2884658,66837772615,21188609102
Aeluroscalabotes_felinus,Aeluroscalabotes_felinus,304433.4348,167,R03732,lizard,1,24.81900577,2.104350191,3168.51263,613.6684639,9.94437E+11,1.26867E+11
Afroablepharus_africanus,Afroablepharus_africanus,1005.246011,168,R07023,lizard,1,22.85747386,1.867979609,2460.553363,463.2259137,74439188480,13705827.24
Afroablepharus_annobonensis,Afroablepharus_annobonensis,14.697131,169,R07024,lizard,1,19.11333338,0.750755972,1986.4,82.17120339,67249348608,0
Afroablepharus_duruarum,Afroablepharus_duruarum,12181.99914,170,R07025,lizard,1,22.89440712,1.340255075,1438.888889,91.47835135,5.3758E+11,47858059033
Afroablepharus_maculicollis,Afroablepharus_maculicollis,853431.9433,171,R07026,lizard,1,21.65331722,1.983772655,709.3183765,175.846623,-2.91E+35,9.95E+36
Afroablepharus_seydeli,Afroablepharus_seydeli,7606.343955,172,R07027,lizard,1,21.80246251,2.273566806,1105.598961,85.01309802,6.43937E+11,1.0477E+11
Afroablepharus_wahlbergi,Afroablepharus_wahlbergi,3375958.617,173,R07028,lizard,1,22.31340225,3.118652716,872.0663451,399.2348271,-1.20E+36,2.02E+37
Afroablepharus_wilsoni,Afroablepharus_wilsoni,49992.35808,174,R07029,lizard,1,26.41131081,1.762632519,153.5763227,162.8202393,48213529748,53554146890
Afroedura_africana,Afroedura_africana,51503.3948,175,R03768,lizard,1,19.5801692,1.988671755,148.100265,67.03566892,59872550857,33902474168
Afroedura_amatolica,Afroedura_amatolica,16739.73089,176,R03769,lizard,1,15.95830718,1.700539649,619.9260205,55.36090004,4.096E+11,1.42313E+11
Afroedura_broadleyi,Afroedura_broadleyi,1917.917704,178,R03771,lizard,1,18.74719652,1.290254697,791.8946502,283.9909906,3.62867E+11,1.44097E+11
Afroedura_granitica,Afroedura_granitica,16.238188,179,R03772,lizard,1,21.82976187,0.184539133,617.1428571,26.65169648,3.32562E+11,0
Afroedura_haackei,Afroedura_haackei,4786.212405,180,R03773,lizard,1,19.78517679,1.664273555,780.5562743,85.81343751,5.96098E+11,1.10681E+11
Afroedura_halli,Afroedura_halli,31225.08038,181,R03774,lizard,1,14.2594118,1.144944412,630.9059205,61.24098185,2.72778E+11,59115182587
Afroedura_hawequensis,Afroedura_hawequensis,12444.35824,182,R03775,lizard,1,15.73820829,1.796988765,536.6696731,141.8698224,3.29363E+11,1.09877E+11
Afroedura_karroica,Afroedura_karroica,33696.44369,183,R03776,lizard,1,14.97067473,1.622214811,430.6365087,80.66343192,2.01276E+11,81529208573
Afroedura_langi,Afroedura_langi,8380.964714,184,R03777,lizard,1,21.75755375,1.354478551,628.5732105,123.061841,3.36512E+11,57627794412
Afroedura_leoloensis,Afroedura_leoloensis,9.996281,185,R03778,lizard,1,19.4527777,0.372826901,688.6666667,24.45858177,3.06778E+11,0
Afroedura_loveridgei,Afroedura_loveridgei,34745.11521,186,R03779,lizard,1,24.06449423,1.67802647,784.747786,151.7902749,5.35096E+11,63800487990
Afroedura_major,Afroedura_major,5165.403989,187,R03780,lizard,1,19.30447762,2.107868903,1011.09403,153.6921447,5.38174E+11,63019813201
Afroedura_maripi,Afroedura_maripi,2781.015512,188,R03781,lizard,1,21.54400393,1.425285064,643.9571796,150.2329522,3.91522E+11,1.51543E+11
Afroedura_marleyi,Afroedura_marleyi,26504.39766,189,R03782,lizard,1,21.69776343,0.816378921,764.4588327,132.2815231,-8.95E+36,5.45E+37
